Year Released,Album Length,Album Name,Artist
2015,4526745,So Icey Boy 2,Gucci Mane
2015,3053995,So Icey Boy,Gucci Mane
2023,4937740,Coke Boys 6: Money Heist Edition,French Montana
2023,3404182,Coke Boys 6,French Montana
2022,2647257,Montega (Deluxe),French Montana
2022,2288194,Montega,French Montana
2021,3886780,They Got Amnesia,French Montana
2020,3543921,CB5,French Montana
2019,4053833,MONTANA,French Montana
2017,3867265,Jungle Rules,French Montana
2016,2849412,Wave Gods,French Montana
2015,2708683,Coke Zoo,French Montana
2015,3344077,Casino Life 2: Brown Bag Legend,French Montana
2014,1519145,Mac & Cheese 4: The Appetizer,French Montana
2014,3196048,The Jack Move,French Montana
2014,4164436,Coke Boys 4,French Montana
2013,6511251,Excuse My French (Deluxe 2.0),French Montana
2012,4515384,Mac & Cheese 3,French Montana
2012,3953387,Coke Boys 3,French Montana
2011,3854774,Cocaine Mafia,French Montana
2011,3029857,Lock Out,French Montana
2011,3734155,Coke Boys Run NY,French Montana
2011,3783420,Coke Boys 2,French Montana
2011,4625066,Casino Life: Mr. 16,French Montana
2011,4193873,Mister 16: Casino Life,French Montana
2010,2954754,Coke Boys Tour,French Montana
2010,3497768,Coke Boys,French Montana
2010,3735745,Mac & Cheese 2,French Montana
2009,4366806,Black Friday: The Mac & Cheese 2 Appetizer,French Montana
2009,3662710,Coke Wave 2,French Montana
2009,3572223,Cocaine Konvicts: Gangsta Grillz,French Montana
2009,4102066,Cocaine Konvicts,French Montana
2009,3101795,The Laundry Man 2,French Montana
2009,3973400,Goon Music 2.0,French Montana
2009,3505088,The Laundry Man,French Montana
2009,3601271,Coke Wave,French Montana
2008,4310421,Live From Africa,French Montana
2007,4765031,"French Revolution, Vol. 1",French Montana
2023,3468242,Welcome 2 Collegrove,2 Chainz
2022,1954211,Dope Don't Sell Itself,2 Chainz
2021,3757326,T.R.U. REALigion (Anniversary Edition),2 Chainz
2020,2993693,So Help Me God!,2 Chainz
2020,2556248,No Face No Case,T.R.U.
2019,3277196,Rap Or Go To The League,2 Chainz
2017,3712626,Pretty Girls Like Trap Music,2 Chainz
2016,1701040,Daniel Son; Necklace Don,2 Chainz
2016,2841450,COLLEGROVE,2 Chainz
2015,2936749,TrapAvelli Tre,2 Chainz
2014,1405690,Freebase,2 Chainz
2013,4599620,B.O.A.T.S. II #METIME (Deluxe),2 Chainz
2012,5457927,Based On A T.R.U. Story (Chopped Not Slopped),2 Chainz
2012,4032208,Based On A T.R.U. Story (Deluxe),2 Chainz
2011,4681836,Saks Fifth: The Clearance,2 Chainz
2011,3648476,Codeine Cowboy ( A 2 Chainz Collective),2 Chainz
2011,2374614,Trapavelli 2 (the Residue),2 Chainz
2011,3689621,Codeine Cowboy,2 Chainz
2010,2927241,Me Against the World,2 Chainz
2010,2899512,Trap-a-Velli 2: The Residue,2 Chainz
2010,2668933,Trap-a-Velli,2 Chainz
2010,3706449,Codeine Withdrawal,2 Chainz
2023,3319761,When I Was Dead,Kodak Black
2023,4012955,Pistolz & Pearlz,Kodak Black
2022,3056156,Kutthroat Bill: Vol. 1,Kodak Black
2022,3430141,Back For Everything,Kodak Black
2021,1304260,Haitian Boy Kodak,Kodak Black
2020,2035287,Bill Israel,Kodak Black
2018,2873420,Dying to Live,Kodak Black
2018,3656205,Heart Break Kodak (HBK),Kodak Black
2017,6036132,Project Baby 2: All Grown Up (Deluxe Edition),Kodak Black
2017,1882218,FEMA (Finesse Elevate Motivate Achieve),Kodak Black
2017,3961150,Project Baby 2: All Grown Up,Kodak Black
2017,3815824,Painting Pictures,Kodak Black
2016,2311099,Lil Big Pac,Kodak Black
2015,4609269,Institution,Kodak Black
2015,3272405,Project Baby,Kodak Black
2014,3557843,Heart of the Projects,Kodak Black
2022,3329428,Demons Protected By Angels (Bonus Version),NAV
2022,3134000,Demons Protected By Angels,NAV
2020,2329780,Emergency Tsunami (Bonus Version),NAV
2020,1982492,Emergency Tsunami,NAV
2020,5262511,Good Intentions (Brown Boy 2 Deluxe Version),NAV
2020,2996289,Good Intentions,NAV
2019,4250075,Bad Habits (Deluxe),NAV
2018,2408128,RECKLESS,NAV
2017,3326792,Perfect Timing,NAV
2017,2030957,NAV,NAV
2023,3520304,Goodbye & Good Riddance (5 Year Anniversary Edition),Juice WRLD
2022,4475793,Fighting Demons (Deluxe),Juice WRLD
2021,3117069,Goodbye & Good Riddance (Anniversary),Juice WRLD
2020,3528040,Legends Never Die,Juice WRLD
2019,4522931,Death Race For Love (Bonus Track Version),Juice WRLD
2018,2850485,Goodbye & Good Riddance,Juice WRLD
2018,2976502,Future & Juice WRLD Present... WRLD ON DRUGS,Future
2023,3422035,Scarlet,Doja Cat
2021,3568287,Planet Her (Deluxe),Doja Cat
2021,2646475,Planet Her,Doja Cat
2019,2389530,Hot Pink,Doja Cat
2019,3412288,Amala (Deluxe Version),Doja Cat
2018,2717262,Amala,Doja Cat
